"PLANET_IDX","P_NAME","star_code","relative mass (earth)","Density (Earth)","RELATIVE RADIUS","TERRAIN TYPE","TYPE_CLIMATE"
474,"Umi Expanse Persephonian",6697,1.11,0.752,1.14,"cityscape|rock arche","frozen|tropical|frigid|rocky|superheated"
475,"Nihal Upsilon",7206,7.24,0.418,2.59,"ocean|glacier|lakes|grassy hill","superheated|frigid|arid|subartic|artificial temperate"
476,"Nihal Theta",7206,2.36,0.889,1.38,"rock arche","rocky|hot"
477,"Nihal Gamma",7206,8.36,1.49,1.78,"ice cave|city","superheated|hot|temperate|artic"
478,"Inazuma Shadows Iota",4279,0.45,1.177,0.73,"reef|desert|rocky island","hot|humid"
479,"Alya Yi",175,6.16,0.957,1.86,"rocky canyon|plateau|lava river|grassy hill|rainforest|cave","artificial temperate|temperate|hot|superheated|humid"
480,"Titanium Quasar Omega",9728,0.69,1.14,0.85,"rocky desert|tundra|reef","superheated|rocky|humid|windy"
481,"Komorebi Quintal",5532,2.21,0.518,1.62,"verdant","temperate"
482,"Komorebi Vigesimal",5532,1.6,0.636,1.36,"sea","temperate|tropical|subartic|rocky"
483,"Zhang Harpian",1321,1.69,0.905,1.23,"hill","tropical|arid"
484,"Deneb Algedi Decimal",6193,1.11,1.181,0.98,"vine|rocky desert","temperate|rocky|frigid|humid|hot"
485,"Sora IX",8520,0.61,0.711,0.95,"jungle|plain|forest|vine|lava river","tropical|arid|windy|hot|temperate"
486,"Sora VIII",8520,2.05,0.884,1.32,"cityscape|glacier|fungus forest|ice canyon","humid|artic|windy|subartic|frigid|frozen|temperate"
487,"Sora XVI",8520,3.07,0.98,1.46,"reef|desert|valley|savanna","subartic|superheated|artificial temperate"
488,"Sora II",8520,3.04,0.895,1.5,"cave|valley","subartic"
489,"Sora I",8520,8.23,1.227,1.89,"rocky canyon|scrubland","arid|tropical"
490,"Abyssal Mirage VIII",1270,6.38,0.738,2.05,"forest|reef|grassland|island|rainforest","tropical|temperate|hot"
491,"Abyssal Mirage V",1270,1.79,0.393,1.66,"plateau|volcano","arid|superheated|hot|frigid"
492,"Thoth's Nebula Delta",2190,1.1,1.072,1.01,"plateau","temperate|subartic"
493,"Tsubasa Echoes Faunios",806,2.16,0.786,1.4,"field|swamp|valley","arid|artificial temperate|tropical"
494,"Mjornir Qi",74,4.26,1.269,1.5,"swamp|field|verdant|city","tropical|subartic|hot"
495,"Elysian Anomaly Duodecimal",9983,1.51,0.665,1.31,"rocky canyon|plain","subartic|artic|hot|frozen|artificial temperate"
496,"Elysian Anomaly Undecimal",9983,2.43,NA,1.48,"reef","subartic|artificial temperate"
497,"Elysian Anomaly Nonal",9983,0.36,1.096,0.69,"mountain","hot|windy|temperate"
498,"Elysian Anomaly Prime",9983,4.89,1.137,1.63,"glacier|urban|rocky desert","subartic|humid"
499,"Yildun Harpian",1908,7.33,1.111,1.88,"rocky island|forest","frigid|temperate|artificial temperate|arid|windy"
500,"Aurora Anomaly Hecatean",7816,0.51,1.168,0.76,"mountain","frigid|artificial temperate|hot|superheated"
501,"Cryptic Nebula Liu",3613,6.75,1.059,1.85,"bog|urban|swamp|reef|field","tropical|frozen|humid|superheated"
502,"Cryptic Nebula Ba",3613,5.5,NA,1.76,"rocky desert|river|field","artic|subartic|tropical|temperate"
503,"Suhail Nonal",8972,5.03,1.05,1.69,"cliff","superheated|frozen|arid|subartic"
504,"Suhail Sextant",8972,4.6,1.158,1.58,"barren|verdant","arid|temperate"
505,"Suhail Vigesimal",8972,1.92,1.426,1.1,"rainforest|jungle|verdant|ice cave|sea|plateau|ash|cityscape","frigid|temperate|arid|hot|humid"
506,"Suhail Quartal",8972,7.17,0.858,2.03,"island|grassy hill|barren|river|rock arche|ice canyon","artificial temperate|subartic|arid|frigid|windy"
507,"Fang Poseidian",3918,1.55,1.143,1.11,"island|tundra|field|river|mountain","artificial temperate|frozen|artic"
508,"Ra's Echo Astraeos",9364,1.86,0.784,1.33,"canyons","artic|subartic|temperate"
509,"Lyra San",2405,7.26,0.977,1.95,"rocky island|field|urban|acid pool","artic|temperate|arid|rocky|artificial temperate"
510,"Lyra Liu",2405,0.75,0.996,0.91,"cityscape|ice cave","artificial temperate|temperate|humid|frigid"
511,"Lyra Jiu",2405,1.06,1.281,0.94,"city|cave","frozen|superheated"
512,"Lyra Yi",2405,4.99,1.176,1.62,"mountain|plain|scrubland","frozen|arid|superheated"
513,"Lyra Si",2405,6.92,0.945,1.94,"sea|city|tundra","artificial temperate|frigid|temperate"
514,"Praecipua XXIV",157,0.85,0.929,0.97,"sea|hill","windy|arid|artic|frozen|temperate"
515,"Praecipua IV",157,2.2,1.433,1.15,"plateau|forest","hot|temperate|arid|subartic|humid"
516,"Praecipua V",157,1.02,0.69,NA,"rocky island|city","artificial temperate|frozen|frigid"
517,"Praecipua VI",157,2.75,0.836,1.49,"rocky island|rocky canyon|fungus forest","hot|temperate|arid"
518,"Zypheron Dionysios",267,7.37,0.805,2.09,"rocky island|swamp|rocky canyon|lakes","hot|artic|superheated|humid|frozen|tropical"
519,"Zypheron Hecatean",267,2.75,1.144,1.34,"lakes|valley|acid pool|jungle|reef|swamp|desert|bog|mountain","superheated|humid|artificial temperate|artic|tropical|temperate"
520,"Bastet's Silence Oranos",57,1.01,0.754,1.1,"lakes|rocky canyon","artificial temperate|temperate"
521,"Itonda Si",1434,3.04,1.166,1.38,"plateau|acid pool|bog","hot|arid"
522,"Itonda Liu",1434,1.48,0.976,1.15,"grassland|mountain|acid pool","hot|temperate|arid"
523,"Tōku Echoes XIX",1015,2.32,1.314,1.21,"verdant|lakes|ash|forest|valley|vine","frozen|hot|artic|windy|rocky"
524,"Cerulean Cryptic Decimal",9001,1.02,0.791,1.09,"urban|glacier|cityscape","superheated|artic|humid|windy"
525,"Cerulean Cryptic Prime",9001,9.63,1.307,1.95,"acid pool|cliff|plateau","superheated|subartic|arid|hot|windy"
526,"Cerulean Cryptic Septimal",9001,3.55,0.832,1.62,"city|cave|urban|sinkholes|valley","hot|temperate|frigid|arid"
527,"Cerulean Cryptic Nonal",9001,1.48,0.805,1.23,"scrubland|valley|fungus forest|plateau","arid|superheated|humid|temperate"
528,"Alkaphrah Chimeraean",9010,2.89,1.108,1.38,"river|jungle|forest|ocean","tropical|artic|frigid"
529,"Starglow Spectra Chi",9224,2.18,1.252,1.2,"verdant","artic|artificial temperate|frozen|tropical"
530,"Intan Epsilon",5850,4.31,1.05,1.6,"rocky desert|plateau|bog|scrubland|rocky island","artic|temperate|arid|hot"
531,"Intan Phi",5850,0.66,1.01,0.87,"field|plateau|grassland|rainforest","artic|tropical|temperate|humid"
532,"Intan Tau",5850,0.92,1.161,0.93,"field|ice cave|plateau|sea|urban|lakes|grassy hill|ice canyon|rocky island","artic|rocky|subartic|frigid|tropical|windy|humid"
533,"Intan Lambda",5850,1.15,0.814,1.12,"cave|grassy hill|island|ash|volcano|ice cave|jungle|rock arche","artic|superheated|frozen|hot|frigid|artificial temperate"
534,"Astral Echo Morphean",7628,1.07,0.453,1.33,"mountain|rock arche|sea","windy|artificial temperate|humid|frozen|temperate"
535,"Cosmogon Enigma Hermian",4776,1.6,0.648,1.35,"city|verdant|rocky desert|rocky canyon","rocky|tropical|humid"
536,"Cosmogon Enigma Gaian",4776,6.33,1.116,1.78,"forest|jungle","artic|hot|frigid|temperate|windy|humid"
537,"Cosmogon Enigma Athenian",4776,6.59,0.83,2,"city|cliff","subartic|temperate|frigid"
538,"Cosmogon Enigma Nereidos",4776,0.9,0.887,1,"mountain","rocky|windy"
539,"Cosmogon Enigma Apollox",4776,0.98,1.143,0.95,"grassy hill|island|river|bog|acid pool","superheated|humid|frigid|tropical"
540,"Titawin Quartal",4067,2.22,0.911,1.35,"bog|acid pool|mountain|river|volcano","superheated|arid|temperate"
541,"Arcanum Flux Ba",9561,1.66,0.77,1.29,"swamp","windy|humid"
542,"Arcanum Flux Wu",9561,3.04,1.332,1.32,"glacier|field|rocky desert|lakes|mountain","humid|temperate|frigid|subartic"
543,"Wazn Atlasios",5626,2.49,1.261,1.25,"rock arche","humid"
544,"Revati Nymphios",8209,0.9,1.536,0.84,"sea","frozen|artic|subartic|rocky|humid"
545,"Astromara Faunios",1323,2.2,0.997,1.3,"urban","rocky|superheated|artificial temperate|artic|tropical|windy"
546,"Vorpal Abyss Olympus",7739,7.53,1.222,1.83,"island|lava river","temperate|windy|arid|frigid"
547,"Vorpal Abyss Demetrian",7739,2.18,1.26,1.2,"cityscape|plateau|rainforest","superheated|frozen|arid"
548,"Vorpal Abyss Hecatean",7739,2.01,0.518,1.57,"cliff|bog|river|cave|desert","subartic|hot|superheated"
549,"Stellarastrum Psi",2765,3.27,0.93,1.52,"glacier","frozen|hot"
550,"Mago Pegasusian",7982,0.83,0.963,0.95,"fungus forest|river|cityscape","superheated|frigid|artic|humid|arid"
551,"Mago Aetherios",7982,6.63,0.818,2.01,"cliff","humid|windy|hot|superheated"
552,"Skaldspark XIV",3994,0.42,0.78,0.81,"forest","artic|humid"
553,"Menkalinan Er",9924,2.58,1.162,1.3,"rock arche|jungle","artic|rocky|frigid|tropical|temperate|windy"
554,"Musica Nemesisian",5070,1.15,0.89,1.09,"plain|vine|lakes|reef|rocky desert","rocky|artificial temperate|windy|humid|artic|tropical"
555,"Musica Chimeraean",5070,2.21,1.117,1.26,"hill|bog|plateau|fungus forest|scrubland|mountain|jungle|ocean","hot|temperate|superheated|humid|arid"
556,"Secunda Hyadum Cerberian",6911,0.51,0.729,0.89,"rock arche","artic|subartic"
557,"Nikawiy Liu",6100,2.5,1.137,1.3,"urban|canyons|lakes|rocky canyon|cave","windy|frigid|artificial temperate|subartic|hot|frozen"
558,"Nikawiy Si",6100,7.35,0.936,1.99,"grassland","rocky|temperate"
559,"Shizuku Seraph Dionysios",742,7.03,1.289,1.76,"ice cave|field|grassy hill|city|reef|cliff|toxic cloudsea|rocky island|plateau","arid|subartic|windy|artic|rocky|temperate|frozen"
560,"Aljanah Oranos",1074,2.71,0.74,NA,"verdant","superheated|artic|tropical|temperate"
561,"Bubup Alpha",3317,3.76,0.77,1.7,"forest|lakes","rocky|artificial temperate"
562,"Arkab Posterior XIX",9687,1.25,0.821,1.15,"ice cave|plain|lakes","superheated|frigid|temperate"
563,"Orion's Echo Chimeraean",3294,6.4,1.181,1.76,"city|grassy hill|jungle|savanna","artificial temperate|frozen|humid|hot|tropical"
564,"Orion's Echo Pegasusian",3294,4.28,0.562,NA,"grassy hill|forest|rocky desert|glacier|urban","frozen|tropical|artificial temperate|frigid"
565,"Illyrian Herculean",1581,1.05,1.143,0.97,"mountain","tropical|frozen|artic"
566,"Illyrian Hadean",1581,1.36,1.332,1.01,"rocky island|ocean|plateau","windy|temperate|frigid"
567,"Illyrian Eosian",1581,1.05,0.883,1.06,"ocean|island","rocky|humid"
568,"Elgafar XIV",6575,1.96,1.025,NA,"jungle|vine|urban|valley|plateau|sea|jungle","hot|arid|humid|artificial temperate|superheated"
569,"Gomeisa Zephyrian",97,1.71,1.147,1.14,"lava river|plateau|ocean","superheated|temperate|tropical|windy"
570,"Gomeisa Hermian",97,6.89,0.811,2.04,"ocean|swamp|grassy hill|plain","hot|artic|temperate|rocky|humid"
571,"Gomeisa Chimeraean",97,6.69,1.285,1.73,"forest|acid pool","windy|artificial temperate|superheated"
572,"Gomeisa Eosian",97,2.4,1.216,1.25,"island","superheated|windy|frigid|frozen|tropical|humid"
573,"Starlight Shroud XI",1423,2.8,1.362,1.27,"verdant|field|river|volcano|lakes|cityscape","frigid|rocky|tropical|hot|windy"
574,"Starlight Shroud IX",1423,2.94,1.193,1.35,"island|field|reef|city|verdant","artic|humid|rocky|windy"
575,"Heze Phi",8090,1.93,0.82,1.33,"sinkholes|city","windy|artificial temperate|subartic|superheated"
576,"Heze Nu",8090,2.23,1.324,1.19,"barren|sinkholes|jungle|ocean|rocky desert","rocky|windy|arid|hot"
577,"Heze Pi",8090,5.87,0.918,1.86,"cave|reef|plain|ice cave|rock arche","subartic|rocky|tropical"
578,"Heze Sigma",8090,5.6,1.318,1.62,"sinkholes|sea|volcano|barren","artic|frozen|frigid|superheated|arid"
579,"Nushagak Phi",7763,1.37,NA,1.08,"rocky canyon|tundra|rocky desert|valley|jungle","windy|artificial temperate|tropical|subartic|temperate|frozen"
580,"Nushagak Epsilon",7763,3.31,1.206,1.4,"barren","arid|subartic"
581,"Nushagak Iota",7763,1.27,1.032,1.07,"rock arche|swamp|rocky desert|tundra|valley|ash|canyons","humid|temperate|artic|superheated|hot"
582,"Nushagak Omicron",7763,1.6,1.145,1.12,"bog|rocky canyon","temperate"
583,"Blizzardrider Shi",8635,1.22,0.861,1.12,"field","tropical|artic|humid"
584,"Lionrock Irisian",6895,1.75,1.493,1.05,"canyons|cityscape|glacier|lakes|rocky island|mountain","frigid|temperate|windy|artificial temperate|rocky"
585,"Lionrock Hermesios",6895,5.03,0.907,1.77,"plateau|acid pool|vine|rocky island","temperate|artic|rocky|artificial temperate|arid|frozen"
586,"Gumala Zeta",253,0.43,0.932,0.77,"cave|urban|plain|lakes|cityscape|glacier|verdant","subartic|superheated|humid|arid|artificial temperate|artic|temperate"
587,"Tania Borealis Er",5191,1.95,0.874,1.31,"plateau|rocky desert|lakes","artic|frozen|windy"
588,"Tania Borealis Liu",5191,5.67,1.027,1.77,"ice canyon","frigid"
589,"Tania Borealis Si",5191,7.38,1.05,1.92,"ash|island|grassy hill|canyons|acid pool","temperate|tropical|rocky|windy|superheated"
590,"Tania Borealis Jiu",5191,0.89,0.496,1.21,"grassy hill|rocky canyon","tropical|temperate|artificial temperate|superheated|hot|frozen"
591,"Tania Borealis Yi",5191,0.77,1.289,0.84,"cityscape|ocean|rainforest|plateau","superheated|subartic|windy|artic|frozen|hot|arid"
592,"Aquilan Anomaly Quintal",1575,5.73,0.727,1.99,"grassland|field|reef","tropical|artificial temperate|temperate|subartic"
593,"Aquilan Anomaly Duodecimal",1575,0.58,0.807,0.9,"lava river|valley|glacier|plateau|cave","hot|subartic|artificial temperate|arid"
594,"Aquilan Anomaly Sextant",1575,3.84,0.343,2.24,"rainforest|glacier|fungus forest","tropical|temperate|frigid|superheated"
595,"Elysionix Selenean",8532,5.43,1.384,1.58,"urban|cityscape","humid|frozen"
596,"Elysionix Hecatean",8532,1.61,0.468,1.51,"desert","frozen|humid|frigid|arid|rocky"
597,"Elysionix Olympios",8532,3.29,0.75,1.64,"toxic cloudsea|city|savanna","frozen|arid"
598,"Mira Wu",8110,2.25,1.119,1.26,"bog|plain|tundra|river","frozen|windy|frigid|tropical"
599,"Koi Horizon Orphean",3806,7.84,0.86,2.09,"verdant","arid|hot|artic|tropical|windy|temperate"
600,"Cosmaronix Quartal",5181,7.28,0.966,1.96,"canyons","frigid|hot"
601,"Grimclaw Eosian",3824,7.06,0.98,1.93,"river|cliff","temperate|artic|rocky"
602,"Grimclaw Hecatean",3824,5.44,1.184,1.66,"hill","artic|subartic|humid|frozen|rocky|tropical"
603,"Grimclaw Chimeraean",3824,5.28,0.834,1.85,"plain|swamp|reef|tundra|sea|glacier","humid|windy|artificial temperate|hot|subartic"
604,"Grimclaw Apollox",3824,2.48,1.01,1.35,"island|canyons|reef|verdant","frozen|artificial temperate|temperate|humid|windy"
605,"Ruchbah Psi",2938,1.62,0.366,1.64,"jungle|bog","frozen|tropical|hot|artic"
606,"Ruchbah Delta",2938,2.41,0.896,1.39,"bog|savanna|cliff|field|rock arche","frigid|tropical|hot|humid"
607,"Ruchbah Chi",2938,0.46,0.912,0.8,"volcano|ice canyon|lava river|island|ocean","hot|tropical|subartic|artic"
608,"Ruchbah Omega",2938,5.48,0.717,1.97,"desert|sea|verdant|barren|rocky island","temperate|hot|subartic|arid|artic"
609,"Ruchbah Pi",2938,7.79,1.147,1.89,"barren|volcano|grassland","frozen|frigid|temperate|arid"
610,"Menkib Olympus",250,4.53,0.91,1.71,"vine|city","frozen|artificial temperate"
611,"Phantasmal Abyss Rho",8450,6.28,1.177,1.75,"desert|ocean|lava river","artificial temperate|rocky|arid|windy"
612,"Phantasmal Abyss Sigma",8450,4.19,1.012,1.61,"verdant","rocky|humid"
613,"Phantasmal Abyss Nu",8450,1.21,0.517,1.33,"mountain|valley|verdant|jungle|ice canyon|reef|volcano|rock arche|toxic cloudsea|bog","arid|artificial temperate|humid|rocky|tropical|frozen|superheated"
614,"Phantasmal Abyss Iota",8450,1.9,0.964,1.25,"lakes|rock arche","tropical"
615,"Phantasmal Abyss Phi",8450,6.83,1.264,1.75,"field","superheated|frozen|temperate"
616,"Morava XIV",8900,1.64,1.552,1.02,"jungle|island|plateau","humid|tropical|artificial temperate"
617,"Morava XXIV",8900,1.4,0.785,1.21,"city|tundra|grassland","subartic|temperate|artificial temperate"
618,"Morava XXI",8900,3.98,0.677,1.8,"forest","frozen|temperate|artic|artificial temperate"
619,"Morava X",8900,1.19,0.774,1.15,"lava river|savanna|plateau","arid|frozen"
620,"Nosaxa Ba",8975,2.11,1.385,1.15,"lava river","superheated|rocky"
621,"Nosaxa Er",8975,5.96,1.133,1.74,"verdant|rocky desert|rocky canyon|acid pool|forest","frozen|artificial temperate|rocky|artic"
622,"Nosaxa Jiu",8975,6.42,0.771,2.03,"river|ocean","frigid|artic|subartic|superheated|hot|tropical"
623,"Zubeneschamali Typhonian",2530,1.15,1.059,1.03,"rock arche|sea|ash","hot|humid|artificial temperate|tropical|rocky"
624,"Zubeneschamali Selenean",2530,1.66,NA,1.15,"hill|ocean|canyons","subartic|windy|frozen|hot"
625,"Zubeneschamali Irisian",2530,0.92,0.948,0.99,"verdant","arid|hot|artic|humid|rocky|frigid|frozen"
626,"Zubeneschamali Persephonian",2530,8.12,0.695,2.27,"island|verdant|bog|plateau","humid|arid|frozen|temperate"
627,"Sora Seraph II",3013,3.1,0.68,1.66,"urban|plain","subartic|artic"
628,"Drakonir Jiu",835,1.88,1.001,1.23,"plain|toxic cloudsea","superheated|humid|windy|artic|hot|artificial temperate"
629,"Drakonir Si",835,2.63,1.176,1.31,"ash","arid|frozen|temperate|rocky|superheated|humid|hot"
630,"Skjoldr Qi",5738,7.83,0.921,2.04,"hill|ice cave|grassland|cave|verdant","humid|artificial temperate|subartic"
631,"Skjoldr San",5738,4.57,0.842,1.76,"rocky desert|tundra","frigid|subartic|frozen|windy"
632,"Yugen III",7118,9.35,1.164,2,"sinkholes|glacier|grassland|bog|cliff|plain|ice canyon|river|verdant|ocean|ash","artic|artificial temperate|humid|rocky|superheated|frozen|tropical"
633,"Yugen XIV",7118,0.66,1.358,0.79,"river","frigid|arid"
634,"Shogun's Echo Wu",5667,2.92,0.925,1.47,"rocky island|hill|urban|bog","humid|artificial temperate|tropical|windy|temperate"
635,"Shogun's Echo Liu",5667,4.95,0.509,2.13,"desert|vine|plateau|reef","rocky|tropical|artificial temperate|subartic"
636,"Kagayaki IV",4762,5.1,1.377,1.55,"cliff","frozen|subartic|temperate|arid|rocky"
637,"Kagayaki XVIII",4762,1.49,0.94,1.17,"canyons|urban|desert|island|grassy hill|jungle|rocky island|jungle|cliff|hill|verdant","frigid|frozen|rocky|humid|superheated|hot|artificial temperate"
638,"Kagayaki XX",4762,1.25,1.314,0.98,"desert|forest","rocky|frozen|artic|superheated|windy"
639,"Kagayaki VI",4762,2.23,1.648,1.11,"cliff|lakes|lava river|cave|rocky desert|ocean|rocky island","artic|arid|rocky|artificial temperate|frozen"
640,"Isis Threshold Theta",1295,8.41,0.945,2.07,"city|river","artificial temperate|subartic"
641,"Isis Threshold Nu",1295,6.62,1.132,1.8,"jungle|cityscape|ash|grassy hill|canyons|lakes|rocky island|rocky canyon|reef","windy|rocky|subartic|superheated|hot|humid|arid"
642,"Isis Threshold Sigma",1703,2.77,1.599,1.2,"ash|urban","tropical|hot"
643,"Helian Nebula Duodecimal",7213,2.08,1.192,1.2,"field|ocean|urban|bog|ice cave|cityscape","artificial temperate|humid|subartic|tropical"
644,"Moriah Delta",4822,7.36,1.099,1.88,"cave|toxic cloudsea|scrubland|ocean|river","frigid|artificial temperate|hot|arid|artic"
645,"Ain Tertial",4622,3.08,0.658,1.67,"ice canyon|lakes|cliff","temperate|subartic"
646,"Ain Prime",4622,2.82,0.945,1.44,"volcano|glacier|vine|savanna|field|rocky desert","temperate|artic|hot|tropical"
647,"Ain Vigesimal",4622,1.4,0.63,1.31,"grassy hill|ash|valley","hot|artic|frozen|windy|temperate"
648,"Ain Duodecimal",4622,4,0.974,1.6,"ocean|mountain|ice cave|verdant|desert|vine","humid|windy|artificial temperate|rocky|frigid|hot|tropical"
649,"Ain Quartal",4622,0.45,0.971,0.77,"grassy hill|toxic cloudsea","artic|tropical|temperate|superheated|windy|subartic"
650,"Segin Octal",994,4.63,1.105,1.61,"ice cave|field|cliff|toxic cloudsea","artificial temperate|superheated|frozen"
651,"Segin Decimal",994,0.81,0.724,1.04,"valley|verdant|river","frozen|subartic"
652,"Segin Prime",994,1.9,1.11,1.2,"ash|lava river|vine|savanna|rocky desert","superheated|artificial temperate|artic|rocky"
653,"Segin Secant",994,3.58,1.151,1.46,"lakes","subartic|windy|temperate"
654,"Segin Nonal",994,2.05,1.146,1.21,"urban","artic|hot|frozen|windy"
655,"Kirei Pi",6851,3.59,0.96,1.55,"ocean|river","artic|frigid"
656,"Kirei Theta",6851,3.1,1.397,1.3,"lakes|grassland|bog","superheated|tropical|frigid|artificial temperate|hot|temperate|rocky"
657,"Kirei Eta",6851,1.24,NA,1.07,"verdant|toxic cloudsea|plain","artic|temperate"
658,"Kirei Alpha",6851,1.99,1.218,1.18,"rocky island","rocky|hot"
659,"Whispering Cosmos Vigesimal",1146,0.88,0.764,1.05,"rocky canyon|river|city|rainforest|vine","tropical|windy|temperate|subartic|artic|frigid"
660,"Diya Sirenios",8723,0.89,1.013,0.96,"rocky island|ice canyon|sea|forest|bog|rocky desert","temperate|frozen|rocky|tropical"
661,"Márohu Gaios",9510,6.24,1.031,1.82,"island|sea|plain|savanna|rocky canyon|volcano","artificial temperate|subartic|arid|frigid"
662,"Márohu Sirenios",9510,2.68,1.186,1.31,"hill|plain|verdant|savanna|swamp|rocky desert","rocky|tropical|frigid|artic|subartic|artificial temperate"
663,"Sadr Quintal",6251,5.53,0.819,1.89,"rainforest|cityscape","superheated|frozen|hot|arid"
664,"Sadr Sextant",6251,4.8,0.881,1.76,"valley|rocky desert","humid|hot|subartic|artificial temperate|artic"
665,"Sadr Nonal",6251,9.21,NA,2.13,"vine|ocean|grassy hill|lakes|reef","frozen|subartic|humid|frigid"
666,"Heliconian Mirage Mu",4215,5.24,1.025,1.72,"desert","arid|rocky|frozen|windy"
667,"Castor San",2710,6.04,0.681,2.07,"ice cave","temperate|artic|rocky"
668,"Castor Liu",2710,2.5,0.55,1.66,"reef","tropical"
669,"Castor Ba",2710,9.36,1.422,1.87,"urban|ice cave|ash|ocean|acid pool|glacier","humid|superheated|hot|frigid"
670,"Crimson Enigma Typhonian",879,5.46,1.226,1.65,"rocky canyon|rock arche","artificial temperate|temperate|humid|artic"
671,"Avior Upsilon",3083,1.62,1.072,1.15,"plateau|urban","superheated|frozen|windy|temperate"
672,"Ma'at's Silence Nymphios",8955,7.74,1.251,1.84,"verdant|field|mountain|rocky island|toxic cloudsea|reef|urban|cliff","superheated|frigid|humid|frozen|subartic"
673,"Castula Wu",4631,7.32,1.242,1.81,"desert|rocky canyon|grassy hill","hot|artificial temperate|frozen|rocky"
674,"Castula Si",4631,8.28,1.212,1.9,"valley","artic|windy"
675,"Nembus Pegasusian",698,1.39,1.019,1.11,"ocean|river|lakes|field","humid|hot|subartic|frigid|artificial temperate"
676,"Asellus Australis XXII",3384,1.5,0.911,1.18,"mountain|cliff","windy|frozen"
677,"Asellus Australis II",3384,1.83,0.73,1.36,"acid pool|scrubland","temperate|frozen|subartic|artic|arid|rocky"
678,"Asellus Australis VI",3384,9.26,0.8,2.26,"sea","temperate|frigid|artic"
679,"Asellus Australis XVII",3384,1.58,0.93,1.19,"cityscape|rocky desert|vine|valley|rainforest|cliff","temperate|humid|rocky|hot"
680,"Ebon Labyrinth XXIII",8382,5.78,1.035,1.77,"ash|canyons","superheated"
681,"Alhena Shi",708,8.2,0.778,2.19,"acid pool|ice canyon|grassland|ocean|cliff|ice cave|jungle|rocky island","windy|artificial temperate|rocky|arid|temperate|subartic|hot"
682,"Alula Borealis Nemesisian",8288,1.19,1.339,0.96,"savanna|ocean|glacier|jungle|city","humid|frozen|tropical|subartic"
683,"Alula Borealis Atlasios",8288,0.9,0.462,1.25,"mountain","subartic"
684,"Cujam Zeta",5939,7.33,1.381,1.74,"lava river","arid|frigid|artic|frozen|subartic|windy"
685,"Cujam Beta",5939,0.59,1.133,0.8,"cave","frigid|frozen|tropical|arid|hot"
686,"Nebula Mirage Apollox",2721,5.49,0.944,1.8,"glacier|valley|rocky island|forest|vine|fungus forest","artic|temperate|humid|arid"
687,"Nebula Mirage Zephyrian",2721,7.55,0.813,2.1,"reef","windy|temperate"
688,"Nebula Mirage Demetrian",2721,3.16,1.518,1.28,"rocky canyon|cliff|forest|glacier|river","humid|frozen|tropical|artic|windy|subartic"
689,"Phantasma Secant",6705,3.33,1.02,1.48,"volcano|ocean|rock arche|fungus forest|valley","superheated|tropical|hot|subartic"
690,"Phantasma Octal",6705,7.98,0.902,2.07,"desert|rocky island","humid|superheated|hot"
691,"Alpherg III",6754,3.07,1.177,1.38,"ocean|urban","artificial temperate"
692,"Selene's Whimsy Typhonian",318,3.6,0.92,1.58,"rocky desert|plain|forest|acid pool|grassy hill","artificial temperate|frigid|arid|rocky"
693,"Kasumi Whisper Echoian",9548,0.44,0.863,0.8,"river|grassy hill|cliff|plain|savanna|glacier","humid|hot|subartic|rocky"
694,"Kasumi Whisper Aetherios",9548,6.59,1.27,1.73,"city|reef","windy|temperate|artificial temperate|arid"
695,"Situla Yi",9339,0.65,0.996,NA,"sinkholes|vine","temperate|superheated"
696,"Nova Prism Gaios",4263,8.36,1.326,1.85,"cityscape","temperate|hot|rocky|superheated|artic|arid"
697,"Quantronix Qi",2184,1.8,0.917,1.25,"grassy hill|reef|vine|ash|forest|savanna","artificial temperate|superheated|rocky|humid"
698,"Quantronix Er",2184,8.95,1.092,2.02,"urban","tropical|frigid|arid|subartic"
699,"Solarionara III",4763,8.39,1.16,1.93,"cave","subartic|superheated"
700,"Kaus Media XIX",8939,4.21,0.79,1.75,"island","frozen|tropical|rocky|temperate|windy"
701,"Stribor Nu",6884,1.71,0.855,1.26,"urban|valley|verdant|city|rock arche|mountain","temperate|humid|rocky|tropical|artic"
702,"Stribor Lambda",6884,2.1,0.95,1.3,"ice cave|cliff","subartic|windy"
703,"Stribor Omicron",6884,2.27,1.226,1.23,"reef|swamp","tropical"
704,"Mikado Serenity Nyxios",7405,6.08,1.188,1.72,"river|jungle|ash|canyons","temperate|tropical|superheated|arid"
705,"Snowstrider Undecimal",9021,7.75,1.056,1.94,"island","frigid"
706,"Snowstrider Quintal",31,0.97,1.067,0.97,"grassland|cliff|island|field|lakes|plateau|city","rocky|temperate|windy|artificial temperate|hot|superheated"
707,"Umbra Veil Demetrian",7525,2.08,0.941,1.3,"verdant|city|plain","subartic|windy|temperate"
708,"Anser Titanos",9912,2.83,0.908,1.46,"vine|ice cave|rocky island","rocky|artic|hot"
709,"Enishi Resonance XIX",5173,4.1,1.005,NA,"jungle|cliff|plain|island|cityscape|lakes|rocky desert|sinkholes|canyons","temperate|rocky|artic|hot|humid|subartic"
710,"Enishi Resonance XI",5173,7.65,0.824,2.1,"valley|glacier","tropical|arid|frozen|rocky|humid"
711,"Enishi Resonance V",5173,1.84,0.641,1.42,"lakes","frozen|arid|tropical|subartic"
